Tweet ID,Tweet Text, Information Source, Information Type,Informativeness
2.96E+17,Paga ou morre! #SantaMaria,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,#DirectionerDesejamForçasASantaMaria  #TodosDesejamForçaASantaMaria #SantaMaria Sentimentos,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Globo News mostrando imagens inéditas do incêndio em #SantaMaria. Tristeza geral de todos e principalmente da família desses jovens.,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @umjovencitou: #SantaMaria - Que Deus ajude, e abençoe as famílias das vítimas desse incêndio, que teve mais de 200 mortos.",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Fox Insider: Brazil Nightclub Fire Kills 245 People At Least: A fire swept through a crowded nightclub in southe... http://t.co/SB8dEsZV,Media,Affected individuals,Related and informative
2.96E+17,"Onde ja se viu so deixar sair se pagasse a comanda, nessas horas isso não importa #BoateKiss",Outsiders,Other Useful Information,Related - but not informative
2.96E+17,12:12 Força #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Alguém lembra de #tragédia de #incêndio igual (#245vítimas fatais) ou superior a essa em #SantaMaria? Somente #acidentedeavião? #comentem!,Outsiders,Affected individuals,Related - but not informative
2.96E+17,RT @AP: BREAKING: Death toll rises to at least 245 in Brazil nightclub fire,Media,Affected individuals,Related and informative
2.96E+17,RT @ABC7Chicago: A tragic story out of #Brazil: at least 245 people are dead after a fire broke out in a nightclub. http://t.co/SXUMmyyu,Media,Affected individuals,Related and informative
2.96E+17,"Que dia horrível, gente... Que dia horrível #SantaMaria",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Minhas condolências aos parentes e amigos da tragédia de #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,#RGP Police up death toll to 245 in Brazil club fire: A fire swept through a crowded nightclub in southern Brazi... http://t.co/Z00IHaxi,Media,Affected individuals,Related and informative
2.96E+17,"@Ellie_Heydon @neartodrew: @bieberskatesx death toll from fire at nightclub in Santa Maria,  Brazil,  245 Beliebers praying for all",Outsiders,Affected individuals,Related - but not informative
2.96E+17,"@ivan_more boa a cobertura da tragédia que deus conforte essa familias que foram afetadas, #santamaria @glendakozlowski",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @mathehhb: FORÇAS PARA TODOS DE #SantaMaria !!!,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"bá, que foda o que aconteceu lá em #SantaMaria naquela boate que já tem confirmado mais de 200 mortos =X",Outsiders,Affected individuals,Related - but not informative
2.96E+17,tragédia e ver Ivan Moré e Glenda cobrindo as notícias da catástrofe em #SantaMaria,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,"RT @DeePaulla_: Que DEUS ajude os familiares das vítimas de #SantaMaria, e fica ae! O SENHOR É MEU PASTOR E NADA ME FALTARA - #FORÇASANT ...",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,😨RT @CNN: Update: At least 245 killed in Brazil nightclub fire.  http://t.co/HiKZRhFq,Media,Affected individuals,Related and informative
2.96E+17,Rodada do #Gauchão é adiada por causa de tragédia em #SantaMaria: http://t.co/L4n75YQa,Not labeled,Not labeled,Not related
2.96E+17,RT @zaynmyangel: ´´por que tenho que me importar´´ ´´eu nem conheço essas pessoas que morreram´´ como podem disser isso ? #SantaMaria,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,@MilenaSchoeller: DP p/ atend. 55 84283162 @RdGaucha #SantaMaria #MCCE Click Donate a Tweet a day http://t.co/BWcV413u #DT @brazilnocorrupt,Not labeled,Not labeled,Not related
2.96E+17,RT @BandaArmandinho: Estou perplexo e abalado com o incêndio na boate Kiss. Meus sentimentos aos familiares.  Estou muito triste.,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,@Larotaaa: Sério mesmo que tem gente zoando o incêndio??? Eu não consigo acreditar... Que povo lixo. #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @SkyNewsBreak: UPDATE: Police in Brazil say at least 245 people dead after fire at nightclub in Santa Maria area of Rio Grande do Sul ...,Media,Affected individuals,Related and informative
2.96E+17,RT @GordinhoOficial: Desejo morte lenta e sofrida a todos os idiotas que fazem piada com essa terrível tragédia. #SantaMaria,Outsiders,Not applicable,Related - but not informative
2.96E+17,"RT @erickkaguiar: #SantaMaria está precisando de enfermeiros auxiliares, psicólogos e psiquiatras. Contato: Bia (55) 9155-2087.",NGOs,Donations and volunteering,Related and informative
2.96E+17,@MilenaSchoeller: DP p/ atend. 55 84283162 @RdGaucha #SantaMaria #MCCE Click Donate a Tweet a day http://t.co/5Yw64XxV #DT @brazilnocorrupt,Not labeled,Not labeled,Not related
2.96E+17,Nossa 245 mortos e 48 pessoas internadas.  =( #StayStrong #SantaMaria  #TODOSDesejamForçasASantaMaria,Outsiders,Affected individuals,Related and informative
2.96E+17,@MilenaSchoeller: DP p/ atend. 55 84283162 @RdGaucha #SantaMaria #MCCE Click Donate a Tweet a day http://t.co/hswTfKSj #DT @brazilnocorrupt,Not applicable,Donations and volunteering,Related - but not informative
2.96E+17,RT @caribnews: BREAKING: Police say 245 dead in Brazil nightclub fire - AP,Media,Affected individuals,Related and informative
2.96E+17,RT @res7cuefox5: Video: Firefighters and civilians battle to rescue people from the nightclub fire in Brazil - @mpoppel tessmer077 http: ...,Media,Affected individuals,Related and informative
2.96E+17,Terrible #nightclub #fire in #Brazil. 200+ reported dead. Follow #BBCBrasil's @Duffygary for latest,Media,Affected individuals,Related and informative
2.96E+17,Over 200 Feared Dead in Brazil Nightclub Fire - Wall Street Journal http://t.co/rR8E8Zji,Media,Affected individuals,Related and informative
2.96E+17,agente se coloca no lugar do familiar de #santamaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"É triste ver tantos jovens mortos, eles escolheram curtir a vida e acabou perdendo-as. Só penso nas almas deles... =/ caso #SantaMaria :(",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"Por fora, a boate parece bem ajeitada... ñ parece um muquifo sem estrutura RT @borgesspfc: Boate Kiss no google street http://t.co/8ftwr4lR",Not labeled,Not labeled,Not related
2.96E+17,RT @Eyshila1: “Quanta dor! Oremos igreja! @JornalOGlobo: Jovens que estavam na boate de #SantaMaria relatam como foi o incêndio. http:// ...,Media,Sympathy and support,Related and informative
2.96E+17,#BeliebersDesejamForçasASantaMaria #SantaMaria #TODOSDesejamForçasASantaMaria me expliquem o que houve,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Very sad RT “@TIME: Police up death toll to 245 in Brazil nightclub fire | http://t.co/I2jAtiAj”,Media,Affected individuals,Related and informative
2.96E+17,RT @CNN: At least 245 killed in Brazil nightclub fire Update: http://t.co/kRCR6AXm,Media,Affected individuals,Related and informative
2.96E+17,"RT @GarotoDorittos: Fiz especialmente para #SantaMaria , #BeliebersDesejamForçasASantaMaria #TODOSDesejamForçasASantaMaria #SantaMaria h ...",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,Rede Globo e grupo RBS distorcendo o comentário do representante dos Bombeiros sobre a regularização da boate KISS. Sensacionalismo?,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,"#santamaria Wow ,... Is this for real?",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,"RT @nickyromero: Shocked about what happened in a nightclub in Brazil. 245 people died due to a fire.  RIP to all victims, thoughts go o ...",Outsiders,Affected individuals,Related - but not informative
2.96E+17,"@cris_mortagua: Jesus,conforta o coração desses pais,tenha compaixão dessas famílias #santamaria",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @MACUMBElRA: Só desejo força aos familiares de #SantaMaria. Que os orixás protejam a todos!,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @CNN: At least 245 killed in Brazil nightclub fire Update: http://t.co/kRCR6AXm,Media,Affected individuals,Related and informative
2.96E+17,"Chocada com a tragédia em #SantaMaria.  Meu Deus, dai força para essas famílias que tanto sofrem nesse momento. #luto",Outsiders,Sympathy and support,Related - but not informative
2.96E+17,#SantaMaria LMFAO ngl this made me laugh http://t.co/dP8Scobt,Not labeled,Not labeled,Not related
2.96E+17,RT @marcela_co: Hoje o Brasil amanhece de luto! #SantaMaria,Outsiders,Sympathy and support,Related - but not informative
2.96E+17,RT @mjdelfino: Fica meu repúdio aos que querem tirar uma casquinha política ou confessional em cima dessa tragédia na boate Kiss #SantaMaria,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,RT @ShaiArctic: I guess nobody called 911 when shawty was fire burning on the dancefloor in a Brazil nightclub.,Outsiders,Other Useful Information,Related - but not informative
2.96E+17,Awful RT @nypost: At least 180 people dead in Brazil nightclub fire http://t.co/qoNbzPZv,Media,Affected individuals,Related and informative
2.96E+17,E ainda tem gente que fica fazendo piadinha com essa tragédia... aff! #SantaMaria,Outsiders,Other Useful Information,Related - but not informative
